YEAR,VERTICAL PIANOS,GRAND PIANOS,ELECTRONIC,PNEUMATIC PLAYERS,TOTALS
2007,31681,22189,8666,nan,62536
2006,39862,26935,10169,nan,76966
2005,48527,35211,11780,nan,95518
2004,49453,32377,11670,nan,93500
2003,56401,31433,9530,nan,97364
2002,53266,30776,9550,nan,93592
2001,50923,28064,9470,nan,88457
2000,60623,33370,11410,nan,105403
1999,59946,32155,9216,nan,101347
1998,66541,33600,6618,nan,106759
1997,60827,28356,5526,nan,94709
1996,53032,26551,4773,nan,84356
1995,66055,27989,4185,nan,98229
1994,65794,28999,3985,nan,98778
1993,68811,27613,3297,nan,99721
1992,73513,29369,nan,nan,102882
1991,79086,27855,nan,nan,106941
1990,84186,27742,nan,nan,111928
1989,97691,28626,nan,nan,126317
1988,109348,32349,nan,nan,141697
1987,131000,38500,nan,5493,174993
1986,131776,33400,nan,1379,166555
1985,116675,27641,nan,6984,151300
1984,142330,26212,nan,11458,180000
1983,168954,20340,nan,7706,197000
1982,174484,20583,nan,7933,203000
1981,201534,19933,nan,9533,231000
1980,210717,18000,nan,4283,233000
1979,251600,19000,nan,5000,275600
1978,257172,20000,nan,5000,282172
1977,235918,18000,nan,5000,258918
1976,225235,16000,nan,5000,246235
1975,203329,14000,nan,nan,217329
1974,232405,16000,nan,nan,248405
1973,232701,15000,nan,nan,247701
1972,215507,17000,nan,nan,232507
1971,189214,16000,nan,nan,205214
1970,178814,15000,nan,nan,193814
1969,205633,14024,nan,nan,219657
1968,213378,12000,nan,nan,225378
1967,211800,10500,nan,nan,222300
1966,234800,9000,nan,nan,243800
1965,235600,8000,nan,2000,245600
1964,213000,7000,nan,nan,220000
1963,209100,6500,nan,nan,215600
1962,202200,6000,nan,nan,208200
1961,186100,5500,nan,nan,191600
1960,163200,5000,nan,30000,198200
1959,195100,4500,nan,nan,199600
1958,178873,4044,nan,nan,182917
1957,191134,4556,nan,nan,195690
1956,205004,4800,nan,nan,209804
1955,188699,4751,nan,nan,193450
1954,161753,4171,nan,nan,165924
1953,160638,3970,nan,nan,164608
1952,149515,4005,nan,nan,153520
1951,142931,5358,nan,nan,148289
1950,169397,6114,nan,nan,175511
1949,130378,5238,nan,nan,135616
1948,159289,5938,nan,nan,165227
1947,139641,4314,nan,nan,143955
1946,67738,1217,nan,nan,68955
1945,64446,1417,nan,nan,nan
1944,54544,1523,nan,nan,nan
1943,53454,1800,nan,nan,nan
1942,55555,1700,nan,nan,61505
1941,139799,20025,nan,nan,159824
1940,116791,19541,nan,nan,136332
1939,94450,19593,nan,nan,114043
1938,69915,19589,nan,nan,89504
1937,76055,29954,nan,nan,106009
1936,58958,31400,nan,nan,90358
1935,35162,29924,nan,nan,65504
1934,22184,25009,nan,nan,47193
1933,12923,21380,nan,nan,34303
1932,9528,17746,nan,nan,27274
1931,20075,31677,nan,1838,53590
1930,nan,nan,nan,nan,nan
1929,nan,nan,nan,nan,130973
1928,nan,nan,nan,nan,nan
1927,nan,nan,nan,nan,218140
1926,nan,nan,nan,nan,nan
1925,nan,nan,nan,nan,306584
1924,nan,nan,nan,nan,nan
1923,nan,nan,nan,nan,347589
1922,nan,nan,nan,nan,nan
1921,nan,nan,nan,nan,221210
1920,nan,nan,nan,nan,nan
1919,nan,nan,nan,nan,336547
1918,nan,nan,nan,nan,nan
1917,nan,nan,nan,nan,nan
1916,nan,nan,nan,nan,nan
1915,nan,nan,nan,nan,nan
1914,nan,nan,nan,nan,322652
1913,nan,nan,nan,nan,nan
1912,nan,nan,nan,nan,nan
1911,nan,nan,nan,nan,nan
1910,nan,nan,nan,nan,nan
1909,nan,nan,nan,nan,364545
1908,nan,nan,nan,nan,nan
1907,nan,nan,nan,nan,nan
1906,nan,nan,nan,nan,nan
1905,nan,nan,nan,nan,nan
1904,nan,nan,nan,nan,261197
1903,nan,nan,nan,nan,nan
1902,nan,nan,nan,nan,nan
1901,nan,nan,nan,nan,nan
1900,nan,nan,nan,nan,171138
